idx,score,mean_dist,sd_dist,cv_dist,min_dist,max_dist,range_dist,skewness,kurtosis,bottleneck_w1,bottleneck_w2,bottleneck_dist,potential_mean,improvement,km_cluster,topology
15524,88.53659519,0.9508707,0.10845296,0.114056475,0.77291274,1.1409878,0.368075,0.16736296,-0.99069023,пучина,пещера,0.77291274,0.9597686,0.008897901,0,Uniform
15525,88.51524421,0.95072067,0.09879411,0.10391497,0.74175894,1.1415725,0.39981353,0.3896546,-0.038784742,словоформа,гидроизоляция,0.74175894,0.96116865,0.010447979,0,Uniform
15526,94.75295834,0.9923442,0.1386569,0.13972662,0.7579529,1.2213925,0.46343958,0.08655907,-1.0858057,смысл,работа,0.7579529,1.0040638,0.011719644,0,Uniform
15527,77.66154775,0.8657707,0.1346435,0.15551865,0.45504642,1.0652773,0.6102309,-1.303769,2.400434,телефон,компьютер,0.45504642,0.88630694,0.020536244,1,Star
15528,95.21465182,0.99526376,0.10645498,0.10696158,0.80060697,1.2139243,0.41331732,0.05493891,-0.70849586,хромота,белизна,0.80060697,1.0049967,0.009732902,0,Uniform
15529,84.3316517,0.92016655,0.1400126,0.15216006,0.5413443,1.1567922,0.6154479,-0.8790634,1.4410715,топор,лопата,0.5413443,0.9391077,0.018941164,3,Star
15530,93.73549115,0.9858367,0.07701711,0.0781236,0.8342142,1.1493173,0.31510305,0.3134203,-0.1219182,кошка,тревога,0.8342142,0.99341786,0.0075811744,0,Uniform
15531,86.0951959,0.9333375,0.14449465,0.154815,0.6102165,1.1633562,0.5531397,-0.50231636,-0.43260908,свинья,бестия,0.6102165,0.9494935,0.016156018,3,Star
15532,89.57740151,0.95811665,0.08129705,0.084850885,0.80366725,1.0706096,0.26694232,-0.3749364,-0.86018085,мел,алюминий,0.80366725,0.965839,0.007722378,0,Uniform
15533,80.60075801,0.89071876,0.09985572,0.112106904,0.7211966,1.0323735,0.31117696,-0.1010257,-1.0731045,обезьяна,бочка,0.7211966,0.89919484,0.0084760785,0,Uniform
15534,98.27929484,1.0141459,0.15233622,0.15021136,0.61387897,1.2517223,0.6378434,-0.7981032,0.7904928,брат,смог,0.61387897,1.0341592,0.020013332,3,Star
15535,86.96195851,0.93965167,0.11916961,0.12682317,0.7099899,1.12707,0.41708004,-0.04169956,-0.98918104,трогательность,феерия,0.7099899,0.9511348,0.011483133,0,Uniform
