word,dat_frequency,mean_score,category,umap_x,umap_y
дадаизм,1,79.55241491,UNCATEGORIZED,8.045004,4.2985883
потоотделение,2,77.85615109,UNCATEGORIZED,7.9376736,3.3917935
поправка,1,76.15988727,UNCATEGORIZED,6.7379646,7.092891
праведность,1,78.83189561,UNCATEGORIZED,9.236058,5.6914053
негоциант,1,95.59971665,UNCATEGORIZED,2.508629,9.860865
швеция,1,89.47427745,UNCATEGORIZED,5.59022,7.767118
евровидение,1,93.98419321,UNCATEGORIZED,5.840904,7.4104724
аудиокнига,1,90.66268507,UNCATEGORIZED,5.393672,5.0578203
бородач,1,94.96700318,UNCATEGORIZED,1.6817969,8.949108
альбион,1,87.54092115,UNCATEGORIZED,2.3323624,6.717667
макарон,1,87.54092115,UNCATEGORIZED,3.040451,1.8553864
николь,1,94.12329433,UNCATEGORIZED,-0.13669659,6.674506
бронетехника,1,86.32971392,UNCATEGORIZED,4.9647717,8.500239
сбор,1,89.78714443,UNCATEGORIZED,7.0489144,7.3375473
саентология,1,95.35514145,UNCATEGORIZED,7.072013,4.3703356
треух,1,91.71875174,UNCATEGORIZED,1.5652542,3.6371272
сорвиголова,1,92.16100855,UNCATEGORIZED,1.2543428,9.77689
баш,1,90.58592584,UNCATEGORIZED,0.36791748,6.8427615
аморальность,1,89.19202574,UNCATEGORIZED,9.231922,4.8682213
потасовка,1,95.2195376,UNCATEGORIZED,6.952938,6.1782503
залом,1,91.2210236,UNCATEGORIZED,4.007325,6.3586187
подкорка,1,92.94846256,UNCATEGORIZED,5.5509586,3.0170376
развращение,1,87.0383904,UNCATEGORIZED,8.554832,5.597948
нутрия,1,91.854672,UNCATEGORIZED,0.44813406,7.7737503
увлеченность,1,85.4014327,UNCATEGORIZED,9.6205015,5.2947364
автокатастрофа,1,86.83184264,UNCATEGORIZED,7.1487584,5.5975447
кержак,1,80.05924306,UNCATEGORIZED,1.0152327,7.488812
абсолютизация,2,87.63842928,UNCATEGORIZED,7.5636225,4.6474156
хирось,1,80.05924306,UNCATEGORIZED,0.97993404,6.8825607
концентрат,1,89.88682573,UNCATEGORIZED,4.315632,2.1048257
эмпат,1,85.46587986,UNCATEGORIZED,2.0270176,9.283682
гидромассаж,1,93.95356492,UNCATEGORIZED,6.424618,3.92563
лич,1,95.41158709,UNCATEGORIZED,1.9444393,8.808342
закрытость,1,90.49272849,UNCATEGORIZED,9.35794,4.735434
просвирка,1,88.45966771,UNCATEGORIZED,3.7846215,2.7845807
оболтус,1,95.87068636,UNCATEGORIZED,1.0525432,9.7028
оспина,1,86.31813831,UNCATEGORIZED,4.7877154,3.6043332
аутсайдер,1,86.21198839,UNCATEGORIZED,1.3475038,9.75475
электросварка,1,84.48008631,UNCATEGORIZED,3.6921372,4.988906
пенз,1,86.90297605,UNCATEGORIZED,0.8884518,6.0087156
невозвращенец,1,87.61169331,UNCATEGORIZED,1.7749901,9.7683
наличка,1,84.50752925,UNCATEGORIZED,4.9537797,4.4069295
бергамот,1,84.50752925,UNCATEGORIZED,1.8197745,1.7587678
всеядность,1,87.72945375,UNCATEGORIZED,9.457425,4.710283
инфильтрация,1,90.44071392,UNCATEGORIZED,7.894995,2.9518294
пташка,1,92.47675824,UNCATEGORIZED,-0.12544252,7.861311
концертмейстер,1,87.32218011,UNCATEGORIZED,3.4205086,9.719422
совхоз,1,87.8192931,UNCATEGORIZED,4.6370077,7.184329
метаморф,1,89.70321123,UNCATEGORIZED,1.0742254,8.207524
протоплазма,1,87.7742448,UNCATEGORIZED,5.6657596,3.8470943
стеб,1,89.86262178,UNCATEGORIZED,8.13198,5.4654512
инферна,1,84.49602022,UNCATEGORIZED,1.588883,6.6738563
превосходительство,1,91.33495443,UNCATEGORIZED,2.9689589,8.674472
присутствие,1,91.11341341,UNCATEGORIZED,8.281017,7.008168
ориентир,1,89.69899262,UNCATEGORIZED,5.135609,6.1168976
поветрие,1,89.69899262,UNCATEGORIZED,8.280784,3.439163
репарация,1,93.74391156,UNCATEGORIZED,6.2738376,3.3890498
ангажированность,1,96.35307623,UNCATEGORIZED,9.276877,4.630345
приборка,1,93.28825372,UNCATEGORIZED,6.5965066,5.2024784
панспермия,1,89.46255328,UNCATEGORIZED,7.699433,4.225917
кирха,1,96.97507907,UNCATEGORIZED,4.4938917,6.519002
курево,1,86.43827108,UNCATEGORIZED,3.6038363,2.4149044
безбрачие,1,91.64701897,UNCATEGORIZED,8.802272,5.286225
брожение,1,93.52969431,UNCATEGORIZED,7.534674,4.3503065
мармеладка,2,89.65424856,UNCATEGORIZED,1.0119845,6.6298633
грец,1,79.01935639,UNCATEGORIZED,1.0174193,7.0412884
приступка,1,95.41637826,UNCATEGORIZED,3.4564896,5.687902
мешалка,1,92.82766733,UNCATEGORIZED,3.4416344,5.37013
