word,dat_freq,corpus_freq,log_corpus_freq,zipf_freq,mean_score_contrib,in_vocab,dat_freq_rank,corpus_freq_rank
сабантуй,1,2.75e-07,-6.560667306169737,2.44,0.90889907,True,11961.0,10402.0
сабля,12,1.07e-06,-5.97061622231479,3.03,0.9016645,True,2627.0,6023.0
сабо,1,6.76e-07,-6.1700533040583645,2.83,0.950689,True,11961.0,7445.0
саботаж,8,1.51e-06,-5.82102305270683,3.18,0.97285575,True,3876.0,5110.0
саван,3,6.17e-07,-6.209714835966758,2.79,0.9619805,True,7747.0,7730.0
саванна,8,6.61e-07,-6.179798540514359,2.82,0.9590611,True,3876.0,7514.0
савка,2,2.14e-07,-6.669586226650809,2.33,1.0096732,True,9435.0,11268.0
сага,2,2.29e-06,-5.640164517660112,3.36,0.9651887,True,9435.0,4035.0
сад,23,3.55e-05,-4.449771646944906,4.55,0.87589985,True,1263.0,493.0
садизм,1,3.39e-07,-6.4698003017969175,2.53,0.9221752,True,11961.0,9689.0
садик,2,2.57e-06,-5.590066876668706,3.41,0.91622305,True,9435.0,3787.0
садист,2,9.77e-07,-6.010105436281227,2.99,0.9333785,True,9435.0,6276.0
садовник,3,1.91e-06,-5.718966632752273,3.28,0.9884093,True,7747.0,4522.0
садовод,2,9.12e-07,-6.0400051616715835,2.96,0.92988414,True,9435.0,6513.0
садоводство,8,1.23e-06,-5.910094888560602,3.09,1.0121983,True,3876.0,5646.0
садок,1,2.69e-07,-6.570247719997592,2.43,0.90231204,True,11961.0,10485.0
саентология,1,1.55e-07,-6.809668301829708,2.19,0.92542,True,11961.0,12256.0
сажа,11,4.07e-07,-6.39040559077478,2.61,0.9511948,True,2872.0,9070.0
саженец,3,1.82e-07,-6.739928612014925,2.26,0.9145925,True,7747.0,11768.0
сажень,7,5.75e-07,-6.2403321553103694,2.76,0.9645003,True,4372.0,7956.0
сайгак,5,9.12e-08,-7.0400051616715835,1.96,0.9475032,True,5709.0,13759.0
сайт,19,0.00017,-3.769551078621726,5.23,0.97407514,True,1575.0,61.0
