timestamp,score,words,time_spent
2026-02-18T12:30:30.889Z,88.89896888,"клапан, офорт, пюре, ригель, истерика, экстремум, маркетри",155
2026-02-18T12:31:21.901Z,85.52987012,"морковь, столб, пружина, самокат, холст, мусорк, мел",103
2026-02-18T12:32:07.161Z,64.96705035,"равнина, гора, река, берег, зима, лето, нога",56
2026-02-18T12:32:29.862Z,87.23522497,"колесо, интуиция, приказ, мышь, кресло, буква, осина",85
2026-02-18T12:32:57.092Z,86.74962725,"крокодил, углепластик, дивергенция, привод, проскрипция, педагогика, суффикс",134
2026-02-18T12:33:18.765Z,91.65462678,"маркетри, клапан, навоз, фрустрация, пюре, азалия, дирижабль",152
2026-02-18T12:33:26.328Z,89.12477231,"чай, покемон, вращение, кельт, бонг, ноготь, трансформатор",91
2026-02-18T12:33:30.122Z,96.67808052,"этилен, манга, горшок, планета, религия, саквояж, хворост",318
2026-02-18T12:33:58.585Z,93.59443548,"защитник, путч, агроном, кот, депрессия, благодать, парадокс",161
2026-02-18T12:35:37.929Z,94.66588597,"олень, планета, сновидение, крем, вероятность, масленица, отношение",136
2026-02-18T12:35:52.971Z,92.75922619,"колесо, шелест, погода, кекс, ацетилен, гравитация, сосна",110
2026-02-18T12:36:30.093Z,83.61606287,"кровать, небо, ракушка, ветер, коробка, нефть, килограмм",118
2026-02-18T12:37:57.065Z,84.98350081,"крокодил, эскалатор, картошка, стена, звезда, чайник, телефон",95
2026-02-18T12:38:56.167Z,93.58590118,"гвоздь, смысл, живопись, физика, ассимиляция, приседание, суспензия",54
2026-02-18T12:40:41.871Z,80.84602221,"штакетник, можжевельник, акула, руда, компас, головоломка, барракуда",99
2026-02-18T12:40:48.321Z,95.8899509,"чайка, долото, плечо, среда, отдохновение, морось, планетарий",120
2026-02-18T12:40:48.999Z,94.22384635,"экспансия, слон, ботинок, скабрезность, хам, суспензия, астрал",49
2026-02-18T12:41:18.392Z,94.00222906,"манга, этилен, религия, горшок, аквалангист, планета, эквивалент",180
2026-02-18T12:41:44.600Z,93.17795948,"коробка, красота, замыкание, пчеловод, фармазон, брыль, стилетто",165
2026-02-18T12:42:28.410Z,85.42674434,"солнце, цапля, стол, линейка, словарь, колбаса, заноза",62
2026-02-18T12:43:52.756Z,94.65507975,"стол, мочалка, единица, труд, творог, облако, трамвай",49
2026-02-18T12:45:22.074Z,94.33317682,"рука, печаль, концепция, водород, эльф, пробежка, тога",175
2026-02-18T12:45:56.790Z,91.77066994,"цветок, война, гипотенуза, кардиган, ножка, кислота, вера",159
2026-02-18T12:46:17.518Z,88.91707957,"пират, барсетка, полено, репа, жена, турка, вазелин",77
2026-02-18T12:46:52.101Z,96.62178642,"чашка, лошадь, вирус, креатив, мусор, шенка, лицо",61
2026-02-18T12:47:04.300Z,85.24363727,"ледник, парламент, микроскоп, кактус, саркофаг, спутник, караван",82
2026-02-18T12:47:08.049Z,81.0593051,"столб, пружина, крик, принтер, шок, шип, шлагбаум",89
2026-02-18T12:48:08.389Z,91.10927797,"дивергенция, капуста, президент, орфография, самоубийство, реконструкция, рекогносцировка",149
2026-02-18T12:48:27.267Z,85.34280316,"пружина, принтер, плита, плач, плов, знак, шина",63
2026-02-18T12:48:40.940Z,87.96451322,"зима, перо, тиара, жвачка, водокачка, муравей, пуля",70
2026-02-18T12:48:59.499Z,87.72775459,"пыль, гусли, булка, рог, луч, игла, балка",148
2026-02-18T12:49:50.710Z,87.21226531,"спекуляция, дуб, шизоид, экстремум, соска, кундалини, чернозем",177
2026-02-18T12:50:10.815Z,88.15945775,"плач, плов, знак, столб, след, холст, хвоя",83
